city,state,county_name,lat,lng,population
New York,New York,New York,40.6943,-73.9249,18713220
Los Angeles,California,Los Angeles,34.1139,-118.4068,12750807
Chicago,Illinois,Cook,41.8373,-87.6862,8604203
Miami,Florida,Miami-Dade,25.7839,-80.2102,6445545
Dallas,Texas,Dallas,32.7936,-96.7662,5743938
Philadelphia,Pennsylvania,Philadelphia,40.0077,-75.1339,5649300
Houston,Texas,Harris,29.7863,-95.3889,5464251
Atlanta,Georgia,Fulton,33.7627,-84.4224,5449398
Washington,District of Columbia,District of Columbia,38.9047,-77.0163,5379184
Boston,Massachusetts,Suffolk,42.3188,-71.0846,4688346
Phoenix,Arizona,Maricopa,33.5722,-112.0891,4219697
Seattle,Washington,King,47.6211,-122.3244,3789215
San Francisco,California,San Francisco,37.7562,-122.443,3592294
Detroit,Michigan,Wayne,42.3834,-83.1024,3506126
San Diego,California,San Diego,32.8312,-117.1225,3220118
Minneapolis,Minnesota,Hennepin,44.9635,-93.2678,2977172
Tampa,Florida,Hillsborough,27.9942,-82.4451,2908063
Denver,Colorado,Denver,39.7621,-104.8759,2876625
Brooklyn,New York,Kings,40.6501,-73.9496,2559903
Queens,New York,Queens,40.7498,-73.7976,2230722
Riverside,California,Riverside,33.9381,-117.3948,2107852
Baltimore,Maryland,Baltimore,39.3051,-76.6144,2106068
Las Vegas,Nevada,Clark,36.2333,-115.2654,2104198
Portland,Oregon,Multnomah,45.5372,-122.65,2074775
San Antonio,Texas,Bexar,29.4658,-98.5253,2049293
St. Louis,Missouri,St. Louis,38.6358,-90.2451,2024074
Sacramento,California,Sacramento,38.5667,-121.4683,1898019
Orlando,Florida,Orange,28.4772,-81.3369,1822394
San Jose,California,Santa Clara,37.3019,-121.8486,1798103
Cleveland,Ohio,Cuyahoga,41.4767,-81.6804,1710093
Pittsburgh,Pennsylvania,Allegheny,40.4396,-79.9762,1703266
Austin,Texas,Travis,30.3004,-97.7522,1687311
Cincinnati,Ohio,Hamilton,39.1413,-84.5061,1662691
Kansas City,Missouri,Jackson,39.1239,-94.5541,1636715
Manhattan,New York,New York,40.7834,-73.9662,1628706
Indianapolis,Indiana,Marion,39.7771,-86.1458,1588961
Columbus,Ohio,Franklin,39.9862,-82.985,1562009
Charlotte,North Carolina,Mecklenburg,35.208,-80.8304,1512923
Virginia Beach,Virginia,Virginia Beach,36.7335,-76.0435,1478868
Bronx,New York,Bronx,40.8501,-73.8662,1418207
Milwaukee,Wisconsin,Milwaukee,43.0642,-87.9673,1365787
Providence,Rhode Island,Providence,41.823,-71.4187,1203230
Jacksonville,Florida,Duval,30.3322,-81.6749,1181496
Salt Lake City,Utah,Salt Lake,40.7777,-111.9306,1098526
Nashville,Tennessee,Davidson,36.1715,-86.7843,1081903
Richmond,Virginia,Richmond,37.5295,-77.4756,1075798
Memphis,Tennessee,Shelby,35.1046,-89.9773,1066967
Raleigh,North Carolina,Wake,35.8325,-78.6435,1038738
New Orleans,Louisiana,Orleans,30.0687,-89.9288,1020886
Louisville,Kentucky,Jefferson,38.1663,-85.6485,1005654
Oklahoma City,Oklahoma,Oklahoma,35.4676,-97.5136,972943
Bridgeport,Connecticut,Fairfield,41.1918,-73.1953,924449
Buffalo,New York,Erie,42.9016,-78.8487,914341
Fort Worth,Texas,Tarrant,32.7811,-97.3473,909585
Hartford,Connecticut,Hartford,41.7661,-72.6834,905152
Tucson,Arizona,Pima,32.1545,-110.8782,888486
Omaha,Nebraska,Douglas,41.2627,-96.0522,847819
El Paso,Texas,El Paso,31.8479,-106.4309,843386
Honolulu,Hawaii,Honolulu,21.3294,-157.846,820987
McAllen,Texas,Hidalgo,26.2273,-98.2471,804114
Albuquerque,New Mexico,Bernalillo,35.1053,-106.6464,761195
Birmingham,Alabama,Jefferson,33.5277,-86.7987,739573
Sarasota,Florida,Sarasota,27.3386,-82.5431,722243
Dayton,Ohio,Montgomery,39.7797,-84.1998,718353
Rochester,New York,Monroe,43.168,-77.6162,703952
Fresno,California,Fresno,36.7831,-119.7941,703498
Allentown,Pennsylvania,Lehigh,40.5961,-75.4756,683794
Tulsa,Oklahoma,Tulsa,36.1284,-95.9042,671033
Cape Coral,Florida,Lee,26.6446,-81.9956,668382
Concord,California,Contra Costa,37.9722,-122.0016,652308
Colorado Springs,Colorado,El Paso,38.8674,-104.7606,642413
Charleston,South Carolina,Charleston,32.8153,-79.9628,628377
Springfield,Massachusetts,Hampden,42.1155,-72.5395,623401
Grand Rapids,Michigan,Kent,42.962,-85.6562,609314
Mission Viejo,California,Orange,33.6095,-117.655,590249
Albany,New York,Albany,42.6664,-73.7987,586383
Knoxville,Tennessee,Knox,35.9692,-83.9496,586048
Bakersfield,California,Kern,35.3529,-119.0359,579295
Ogden,Utah,Weber,41.2278,-111.9682,578523
Baton Rouge,Louisiana,East Baton Rouge,30.4418,-91.131,570308
Akron,Ohio,Summit,41.0798,-81.5219,565208
New Haven,Connecticut,New Haven,41.3112,-72.9246,564830
Columbia,South Carolina,Richland,34.0376,-80.9037,560041
Mesa,Arizona,Maricopa,33.4017,-111.718,518012
Palm Bay,Florida,Brevard,27.955,-80.6627,507002
Provo,Utah,Utah,40.2457,-111.6457,500617
Worcester,Massachusetts,Worcester,42.2705,-71.8079,498328
Murrieta,California,Riverside,33.572,-117.1909,496046
Greenville,South Carolina,Greenville,34.8353,-82.3647,484465
Wichita,Kansas,Sedgwick,37.6896,-97.3442,482249
Toledo,Ohio,Lucas,41.6639,-83.5822,482111
Staten Island,New York,Richmond,40.5834,-74.1496,476143
Des Moines,Iowa,Polk,41.5725,-93.6105,473957
Long Beach,California,Los Angeles,33.7981,-118.1675,462628
Port St. Lucie,Florida,St. Lucie,27.2796,-80.3883,461152
Denton,Texas,Denton,33.2176,-97.1419,457177
Madison,Wisconsin,Dane,43.0826,-89.3931,447245
Reno,Nevada,Washoe,39.5497,-119.8483,445020
Harrisburg,Pennsylvania,Dauphin,40.2752,-76.8843,442289
Little Rock,Arkansas,Pulaski,34.7256,-92.3576,439815
Oakland,California,Alameda,37.7903,-122.2165,433031
Durham,North Carolina,Durham,35.9794,-78.9031,424700
