name,michelin_award,city,cuisine1,cuisine2,lon,lat,description,cuisine
'L Chimpl,1,Tamion,Creative,Contemporary,11.6564315,46.4073422,Haute cuisine has arrived at the “simple” Gran Mugon hotel,Creative
'L Chimpl,1,Tamion,Creative,Contemporary,11.6564315,46.4073422,Haute cuisine has arrived at the “simple” Gran Mugon hotel,Contemporary
't Amsterdammertje,1,Loenen aan de Vecht,Creative,,5.0216548,52.2098585,"If you’re a fan of hip, vibrant and trendy",Creative
't Amsterdammertje,1,Loenen aan de Vecht,Creative,,5.0216548,52.2098585,"If you’re a fan of hip, vibrant and trendy",
't Fornuis,1,Antwerpen,Classic Cuisine,,4.3994483,51.2190389,’t Fornuis is a restaurant that has become rare,Classic Cuisine
't Fornuis,1,Antwerpen,Classic Cuisine,,4.3994483,51.2190389,’t Fornuis is a restaurant that has become rare,
't Korennaer,1,Nieuwkerken-Waas,Modern Cuisine,,4.1781069,51.1929468,Edwin Van Goethem jazzes up his cooking with international influences,Modern Cuisine
't Korennaer,1,Nieuwkerken-Waas,Modern Cuisine,,4.1781069,51.1929468,Edwin Van Goethem jazzes up his cooking with international influences,
't Lansink,1,Hengelo,Modern Cuisine,Modern French,6.7823645,52.2596759,"Warmth and character are the hallmarks of ’t Lansink, which",Modern Cuisine
't Lansink,1,Hengelo,Modern Cuisine,Modern French,6.7823645,52.2596759,"Warmth and character are the hallmarks of ’t Lansink, which",Modern French
't Nonnetje,2,Harderwijk,Creative,Modern French,5.6202128,52.3509952,Key features at 't Nonnetje are a focus on vegetables,Creative
't Nonnetje,2,Harderwijk,Creative,Modern French,5.6202128,52.3509952,Key features at 't Nonnetje are a focus on vegetables,Modern French
't Overhamme,1,Aalst,Modern Cuisine,,4.0662034,50.928478,‘t Overhamme has been a fine dining establishment since,Modern Cuisine
't Overhamme,1,Aalst,Modern Cuisine,,4.0662034,50.928478,‘t Overhamme has been a fine dining establishment since,
't Raedthuys,1,Duiven,Modern French,,6.02355,51.95016,Art and gastronomy go hand in hand at ’t Raedthuys,Modern French
't Raedthuys,1,Duiven,Modern French,,6.02355,51.95016,Art and gastronomy go hand in hand at ’t Raedthuys,
't Stoveke,1,Strombeek-Bever,Modern Cuisine,,4.3507766,50.9049469,The chef of 't Stoveke follows in the footsteps of,Modern Cuisine
't Stoveke,1,Strombeek-Bever,Modern Cuisine,,4.3507766,50.9049469,The chef of 't Stoveke follows in the footsteps of,
't Truffeltje,1,Dendermonde,Modern French,Modern Cuisine,4.1026273,51.0310014,"This restaurant enjoys a fine reputation, exemplified by the chef",Modern French
't Truffeltje,1,Dendermonde,Modern French,Modern Cuisine,4.1026273,51.0310014,"This restaurant enjoys a fine reputation, exemplified by the chef",Modern Cuisine
't Vlasbloemeken,1,Koewacht,Modern Cuisine,,3.9770577,51.2254016,Your visit to ’t Vlasbloemeken promises to turn into a,Modern Cuisine
't Vlasbloemeken,1,Koewacht,Modern Cuisine,,3.9770577,51.2254016,Your visit to ’t Vlasbloemeken promises to turn into a,
100 Maneiras,1,Lisbon,Creative,,-9.1449507,38.714841,Discover the creativity and personality of Bosnian chef Ljubomir Stanisic,Creative
100 Maneiras,1,Lisbon,Creative,,-9.1449507,38.714841,Discover the creativity and personality of Bosnian chef Ljubomir Stanisic,
100/200 Kitchen,1,Hamburg,Creative,Modern Cuisine,10.0285764,53.5374323,100/200 promises industrial chic in an urban loft-style,Creative
100/200 Kitchen,1,Hamburg,Creative,Modern Cuisine,10.0285764,53.5374323,100/200 promises industrial chic in an urban loft-style,Modern Cuisine
1131 - Abbaye de la Bussière,1,La Bussière-sur-Ouche,Modern Cuisine,,4.7241758,47.2157221,The exceptional setting of a former abbey is now the,Modern Cuisine
1131 - Abbaye de la Bussière,1,La Bussière-sur-Ouche,Modern Cuisine,,4.7241758,47.2157221,The exceptional setting of a former abbey is now the,
"114, Faubourg",1,Paris,Modern Cuisine,,2.3142125,48.8717748,This chic brasserie within the premises of Le Bristol has,Modern Cuisine
"114, Faubourg",1,Paris,Modern Cuisine,,2.3142125,48.8717748,This chic brasserie within the premises of Le Bristol has,
12 Apostoli,1,Verona,Modern Cuisine,Contemporary,10.9960733,45.4426624,"Rooted in the Veronese flavours of his childhood, yet created",Modern Cuisine
12 Apostoli,1,Verona,Modern Cuisine,Contemporary,10.9960733,45.4426624,"Rooted in the Veronese flavours of his childhood, yet created",Contemporary
1741,1,Strasbourg,Modern Cuisine,,7.7535777,48.5806,"This town house, built under the First Empire, faces the",Modern Cuisine
1741,1,Strasbourg,Modern Cuisine,,7.7535777,48.5806,"This town house, built under the First Empire, faces the",
1876 Daniel Dal-Ben,1,Düsseldorf,Creative,Modern Cuisine,6.8020549,51.2435618,"At Daniel Dal-Ben's restaurant, it's a modern",Creative
1876 Daniel Dal-Ben,1,Düsseldorf,Creative,Modern Cuisine,6.8020549,51.2435618,"At Daniel Dal-Ben's restaurant, it's a modern",Modern Cuisine
1904 Designed by Lagonda,1,Zurich,Modern Cuisine,Creative,8.5368718,47.3754184,The first restaurant in Switzerland to be designed by the,Modern Cuisine
1904 Designed by Lagonda,1,Zurich,Modern Cuisine,Creative,8.5368718,47.3754184,The first restaurant in Switzerland to be designed by the,Creative
1908,1,Soprabolzano,Creative,Modern Cuisine,11.405296,46.5282559,The name of this hotel refers to the year in,Creative
1908,1,Soprabolzano,Creative,Modern Cuisine,11.405296,46.5282559,The name of this hotel refers to the year in,Modern Cuisine
1912 - Les Cures Marines,1,Trouville-sur-Mer,Modern Cuisine,,0.0776574,49.3662411,"Abutting the casino, the former spa facilities have been resuscitated",Modern Cuisine
1912 - Les Cures Marines,1,Trouville-sur-Mer,Modern Cuisine,,0.0776574,49.3662411,"Abutting the casino, the former spa facilities have been resuscitated",
21.9,1,Piobesi d'Alba,Creative,,7.9903827,44.7326422,This restaurant is housed on a wine estate that was,Creative
21.9,1,Piobesi d'Alba,Creative,,7.9903827,44.7326422,This restaurant is housed on a wine estate that was,
